,Bowler,Overs,Maidens,Runs,Wickets,Economy,Dot Balls,Fours,Sixes,Wide,No Balls
315,Mohammad Nawaz,2,0,11,0,5.50,3,0,0,0,0
316,Wayne Parnell,4,1,15,3,3.75,16,0,1,0,0
317,Kagiso Rabada,4,0,26,0,6.50,13,2,1,1,0
318,Lungi Ngidi,4,0,29,4,7.25,10,3,1,0,0
319,Anrich Nortje,4,0,23,1,5.75,12,1,1,0,0
320,Keshav Maharaj,3,0,28,0,9.33,5,3,1,0,0
321,Aiden Markram,1,0,5,0,5.00,1,0,0,0,0
322,Wayne Parnell,4,1,15,3,3.75,16,0,1,0,0
323,Kagiso Rabada,4,0,26,0,6.50,13,2,1,1,0
324,Lungi Ngidi,4,0,29,4,7.25,10,3,1,0,0
325,Anrich Nortje,4,0,23,1,5.75,12,1,1,0,0
326,Keshav Maharaj,3,0,28,0,9.33,5,3,1,0,0
327,Aiden Markram,1,0,5,0,5.00,1,0,0,0,0
328,Josh Little,4,0,21,2,5.25,13,2,0,2,0
329,Mark Adair,4,0,59,0,14.75,6,7,2,6,0
330,Barry McCarthy,4,0,29,3,7.25,7,2,0,1,0
331,Gareth Delany,3,0,29,0,9.66,10,2,2,2,0
332,Fionn Hand,1,0,15,0,15.00,2,0,2,1,0
333,George Dockrell,4,0,24,0,6.00,8,0,1,0,0
334,Josh Little,4,0,21,2,5.25,13,2,0,2,0
335,Mark Adair,4,0,59,0,14.75,6,7,2,6,0
336,Barry McCarthy,4,0,29,3,7.25,7,2,0,1,0
337,Gareth Delany,3,0,29,0,9.66,10,2,2,2,0
338,Fionn Hand,1,0,15,0,15.00,2,0,2,1,0
339,George Dockrell,4,0,24,0,6.00,8,0,1,0,0
340,Kasun Rajitha,4,0,31,1,7.75,11,2,1,1,1
341,Pramod Madushan,3,0,24,0,8.00,7,2,1,0,0
342,Lahiru Kumara,4,0,30,2,7.50,12,2,1,4,0
343,Maheesh Theekshana,4,0,33,0,8.25,5,1,1,1,0
344,Wanindu Hasaranga de Silva,4,0,13,3,3.25,12,0,0,0,0
345,Dhananjaya de Silva,1,0,9,1,9.00,1,1,0,0,0
346,Kasun Rajitha,4,0,31,1,7.75,11,2,1,1,1
347,Pramod Madushan,3,0,24,0,8.00,7,2,1,0,0
348,Lahiru Kumara,4,0,30,2,7.50,12,2,1,4,0
349,Maheesh Theekshana,4,0,33,0,8.25,5,1,1,1,0
350,Wanindu Hasaranga de Silva,4,0,13,3,3.25,12,0,0,0,0
351,Dhananjaya de Silva,1,0,9,1,9.00,1,1,0,0,0
352,Trent Boult,4,0,40,0,10.00,8,4,1,1,0
353,Tim Southee,4,0,43,1,10.75,9,3,3,0,0
354,Mitchell Santner,4,0,25,1,6.25,8,2,0,0,0
355,Lockie Ferguson,4,0,45,2,11.25,6,4,2,0,1
356,Ish Sodhi,4,0,23,1,5.75,10,2,0,0,0
357,Trent Boult,4,0,40,0,10.00,8,4,1,1,0
358,Tim Southee,4,0,43,1,10.75,9,3,3,0,0
359,Mitchell Santner,4,0,25,1,6.25,8,2,0,0,0
360,Lockie Ferguson,4,0,45,2,11.25,6,4,2,0,1
361,Ish Sodhi,4,0,23,1,5.75,10,2,0,0,0
362,Fred Klaassen,4,0,17,1,4.25,17,0,1,2,0
363,Paul van Meekeren,4,0,29,3,7.25,13,3,0,2,0
364,Brandon Glover,4,1,29,2,7.25,15,2,2,2,0
365,Logan van Beek,2.2,0,17,2,7.28,8,1,1,1,0
366,Bas de Leede,4,0,14,2,3.50,11,0,0,0,0
367,Roelof van der Merwe,1,0,8,0,8.00,2,1,0,0,0
368,Fred Klaassen,4,0,17,1,4.25,17,0,1,2,0
369,Paul van Meekeren,4,0,29,3,7.25,13,3,0,2,0
370,Brandon Glover,4,1,29,2,7.25,15,2,2,2,0
371,Logan van Beek,2.2,0,17,2,7.28,8,1,1,1,0
372,Bas de Leede,4,0,14,2,3.50,11,0,0,0,0
373,Roelof van der Merwe,1,0,8,0,8.00,2,1,0,0,0
374,Taskin Ahmed,4,0,15,0,3.75,16,2,0,0,0
375,Shoriful Islam,4,0,57,0,14.25,7,4,4,2,2
376,Hasan Mahmud,4,0,47,3,11.75,7,6,2,0,1
377,Mustafizur Rahman,4,0,31,0,7.75,9,4,0,0,0
378,Shakib Al Hasan,4,0,33,2,8.25,3,2,0,0,0
379,Taskin Ahmed,4,0,15,0,3.75,16,2,0,0,0
380,Shoriful Islam,4,0,57,0,14.25,7,4,4,2,2
381,Hasan Mahmud,4,0,47,3,11.75,7,6,2,0,1
382,Mustafizur Rahman,4,0,31,0,7.75,9,4,0,0,0
383,Shakib Al Hasan,4,0,33,2,8.25,3,2,0,0,0
384,Wayne Parnell,4,0,31,1,7.75,10,3,1,0,0
385,Kagiso Rabada,4,0,44,1,11.00,7,4,2,0,0
386,Lungi Ngidi,4,0,32,1,8.00,11,3,1,2,0
