,Bowler,Overs,Maidens,Runs,Wickets,Economy,Dot Balls,Fours,Sixes,Wide,No Balls
39,Gareth Delany,2,0,21,0,10.50,4,2,1,1,0
40,Josh Little,4,0,24,3,6.00,11,3,0,0,0
41,Mark Adair,4,0,39,2,9.75,6,3,1,2,0
42,Barry McCarthy,4,0,24,0,6.00,11,2,0,2,0
43,Curtis Campher,3,0,29,0,9.66,6,2,2,0,0
44,Simi Singh,3,0,31,2,10.33,5,2,2,1,0
45,Gareth Delany,2,0,21,0,10.50,4,2,1,1,0
46,Fred Klaassen,3,0,15,0,5.00,11,1,0,0,0
47,Tim Pringle,3,0,15,1,5.00,8,0,0,0,0
48,Bas de Leede,3,0,18,2,6.00,6,1,0,0,0
49,Colin Ackermann,3,0,17,1,5.66,8,2,0,0,0
50,Paul van Meekeren,4,0,18,1,4.50,11,1,0,1,0
51,Timm van der Gugten,3,0,29,0,9.66,4,1,1,2,0
52,Roelof van der Merwe,1,0,6,1,6.00,1,0,0,1,0
53,Fred Klaassen,3,0,15,0,5.00,11,1,0,0,0
54,Tim Pringle,3,0,15,1,5.00,8,0,0,0,0
55,Bas de Leede,3,0,18,2,6.00,6,1,0,0,0
56,Colin Ackermann,3,0,17,1,5.66,8,2,0,0,0
57,Paul van Meekeren,4,0,18,1,4.50,11,1,0,1,0
58,Timm van der Gugten,3,0,29,0,9.66,4,1,1,2,0
59,Roelof van der Merwe,1,0,6,1,6.00,1,0,0,1,0
60,Junaid Siddique,4,0,36,0,9.00,8,2,1,2,0
61,Kashif Daud,1,0,14,0,14.00,0,2,0,0,0
62,Zahoor Khan,4,0,26,2,6.50,10,3,0,0,0
63,Aayan Afzal Khan,3,0,16,1,5.33,7,1,0,0,0
64,Aryan Lakra,3,0,24,1,8.00,5,3,0,0,0
65,Karthik Meiyappan,4,0,19,3,4.75,12,0,1,0,0
66,Basil Hameed,1,0,13,0,13.00,1,1,1,0,0
67,Junaid Siddique,4,0,36,0,9.00,8,2,1,2,0
68,Kashif Daud,1,0,14,0,14.00,0,2,0,0,0
69,Zahoor Khan,4,0,26,2,6.50,10,3,0,0,0
70,Aayan Afzal Khan,3,0,16,1,5.33,7,1,0,0,0
71,Aryan Lakra,3,0,24,1,8.00,5,3,0,0,0
72,Karthik Meiyappan,4,0,19,3,4.75,12,0,1,0,0
73,Basil Hameed,1,0,13,0,13.00,1,1,1,0,0
74,Josh Little,4,0,30,1,7.50,10,2,1,1,0
75,Mark Adair,4,0,23,1,5.75,12,2,0,2,0
76,Barry McCarthy,4,0,59,0,14.75,4,6,3,1,1
77,Gareth Delany,3,0,28,0,9.33,3,2,1,0,0
78,Simi Singh,2,0,16,0,8.00,2,2,0,0,0
79,Curtis Campher,2,0,9,2,4.50,7,1,0,0,0
80,George Dockrell,1,0,9,0,9.00,1,1,0,0,0
81,Josh Little,4,0,30,1,7.50,10,2,1,1,0
82,Mark Adair,4,0,23,1,5.75,12,2,0,2,0
83,Barry McCarthy,4,0,59,0,14.75,4,6,3,1,1
84,Gareth Delany,3,0,28,0,9.33,3,2,1,0,0
85,Simi Singh,2,0,16,0,8.00,2,2,0,0,0
86,Curtis Campher,2,0,9,2,4.50,7,1,0,0,0
87,George Dockrell,1,0,9,0,9.00,1,1,0,0,0
88,Richard Ngarava,3,0,20,0,6.66,9,1,1,1,0
89,Tendai Chatara,3,0,22,0,7.33,5,2,0,2,0
90,Blessing Muzarabani,4,0,38,2,9.50,10,2,2,2,1
91,Ryan Burl,3,0,27,0,9.00,5,3,1,0,0
92,Sikandar Raza,4,0,19,3,4.75,7,0,0,0,0
93,Sean Williams,3,0,17,1,5.66,7,1,0,0,1
94,Richard Ngarava,3,0,20,0,6.66,9,1,1,1,0
95,Tendai Chatara,3,0,22,0,7.33,5,2,0,2,0
96,Blessing Muzarabani,4,0,38,2,9.50,10,2,2,2,1
97,Ryan Burl,3,0,27,0,9.00,5,3,1,0,0
98,Sikandar Raza,4,0,19,3,4.75,7,0,0,0,0
99,Sean Williams,3,0,17,1,5.66,7,1,0,0,1
100,Fred Klaassen,4,0,34,1,8.50,9,1,2,0,0
101,Tim Pringle,3,0,22,0,7.33,8,0,2,0,0
102,Roelof van der Merwe,3,0,16,0,5.33,10,2,0,0,0
103,Paul van Meekeren,4,0,25,2,6.25,11,3,0,1,0
104,Bas de Leede,3,0,31,2,10.33,5,2,2,0,0
105,Timm van der Gugten,3,0,31,1,10.33,3,2,1,0,0
106,Fred Klaassen,4,0,34,1,8.50,9,1,2,0,0
107,Tim Pringle,3,0,22,0,7.33,8,0,2,0,0
108,Roelof van der Merwe,3,0,16,0,5.33,10,2,0,0,0
109,Paul van Meekeren,4,0,25,2,6.25,11,3,0,1,0
110,Bas de Leede,3,0,31,2,10.33,5,2,2,0,0
111,Timm van der Gugten,3,0,31,1,10.33,3,2,1,0,0
112,Ruben Trumpelmann,4,0,22,0,5.50,10,0,0,3,0
113,David Wiese,4,0,27,1,6.75,12,2,1,1,0
114,Bernard Scholtz,4,0,22,1,5.50,11,1,1,0,0
115,JJ Smit,4,0,39,0,9.75,11,2,3,0,0
116,Jan Frylinck,3,0,30,0,10.00,3,2,1,1,0
117,Ben Shikongo,1,0,8,1,8.00,1,1,0,0,0
118,Ruben Trumpelmann,4,0,22,0,5.50,10,0,0,3,0
119,David Wiese,4,0,27,1,6.75,12,2,1,1,0
120,Bernard Scholtz,4,0,22,1,5.50,11,1,1,0,0
121,JJ Smit,4,0,39,0,9.75,11,2,3,0,0
122,Jan Frylinck,3,0,30,0,10.00,3,2,1,1,0
123,Ben Shikongo,1,0,8,1,8.00,1,1,0,0,0
124,Josh Little,4,0,31,0,7.75,8,1,2,1,0
125,Mark Adair,4,0,26,0,6.50,12,1,1,4,0
126,Barry McCarthy,4,0,33,1,8.25,9,3,1,1,0
127,Curtis Campher,2,0,28,0,14.00,2,4,1,0,0
128,Simi Singh,2,0,11,1,5.50,4,1,0,0,0
129,Gareth Delany,4,0,16,3,4.00,12,1,0,1,0
130,Josh Little,4,0,31,0,7.75,8,1,2,1,0
131,Mark Adair,4,0,26,0,6.50,12,1,1,4,0
132,Barry McCarthy,4,0,33,1,8.25,9,3,1,1,0
133,Curtis Campher,2,0,28,0,14.00,2,4,1,0,0
134,Simi Singh,2,0,11,1,5.50,4,1,0,0,0
135,Gareth Delany,4,0,16,3,4.00,12,1,0,1,0
136,Tendai Chatara,4,1,14,2,3.50,14,1,0,0,0
137,Richard Ngarava,4,0,28,2,7.00,12,4,0,1,1
138,Blessing Muzarabani,4,0,34,1,8.50,9,5,0,0,2
139,Sean Williams,3,0,19,0,6.33,4,1,0,0,0
140,Sikandar Raza,4,0,20,1,5.00,10,0,0,2,0
141,Wessly Madhevere,1,0,7,0,7.00,1,0,0,0,0
142,Tendai Chatara,4,1,14,2,3.50,14,1,0,0,0
143,Richard Ngarava,4,0,28,2,7.00,12,4,0,1,1
144,Blessing Muzarabani,4,0,34,1,8.50,9,5,0,0,2
145,Sean Williams,3,0,19,0,6.33,4,1,0,0,0
146,Sikandar Raza,4,0,20,1,5.00,10,0,0,2,0
147,Wessly Madhevere,1,0,7,0,7.00,1,0,0,0,0
