,0,1,2,3,4,5,6,7
184,Paul Stirling,not out,66,48,79,6,2,137.50
185,Andy Balbirnie (c),c Mayers b Hosein,37,23,34,3,3,160.86
186,Lorcan Tucker †,not out,45,35,46,2,2,128.57
187,George Munsey,c Shumba b Ngarava,54,51,74,7,0,105.88
188,Michael Jones,c Sikandar Raza b Chatara,4,5,6,1,0,80.00
189,Matthew Cross †,c Madhevere b Ngarava,1,7,15,0,0,14.28
190,Richie Berrington (c),c Shumba b Sikandar Raza,13,15,24,0,0,86.66
191,Calum MacLeod,c Jongwe b Chatara,25,26,46,1,0,96.15
192,Michael Leask,b Muzarabani,12,9,11,2,0,133.33
193,Chris Greaves,not out,3,7,10,0,0,42.85
194,Josh Davey,not out,4,3,3,0,0,133.33
195,Regis Chakabva †,lbw b Wheal,4,3,3,1,0,133.33
196,Craig Ervine (c),c MacLeod b Watt,58,54,79,6,0,107.40
197,Wessly Madhevere,b Davey,0,5,8,0,0,0.00
198,Sean Williams,c Wheal b Leask,7,12,28,0,0,58.33
199,Sikandar Raza,c †Cross b Davey,40,23,34,3,2,173.91
200,Milton Shumba,not out,11,11,16,0,0,100.00
201,Ryan Burl,not out,9,5,7,1,0,180.00
202,Finn Allen,b Hazlewood,42,16,24,5,3,262.50
203,Devon Conway †,not out,92,58,106,7,2,158.62
204,Kane Williamson (c),lbw b Zampa,23,23,48,1,1,100.00
205,Glenn Phillips,c & b Hazlewood,12,10,16,2,0,120.00
206,James Neesham,not out,26,13,19,0,2,200.00
207,David Warner,b Southee,5,6,7,1,0,83.33
208,Aaron Finch (c),c Williamson b Santner,13,11,20,1,1,118.18
209,Mitchell Marsh,c Neesham b Southee,16,12,17,2,1,133.33
210,Glenn Maxwell,b Sodhi,28,20,47,3,1,140.00
211,Marcus Stoinis,c Phillips b Santner,7,14,16,0,0,50.00
212,Tim David,c Neesham b Santner,11,8,12,0,1,137.50
213,Matthew Wade †,c †Conway b Ferguson,2,4,10,0,0,50.00
214,Pat Cummins,c †Conway b Southee,21,18,27,2,1,116.66
215,Mitchell Starc,b Boult,4,7,13,0,0,57.14
216,Adam Zampa,b Boult,0,2,3,0,0,0.00
217,Josh Hazlewood,not out,1,1,6,0,0,100.00
218,Hazratullah Zazai,c Livingstone b Stokes,7,17,31,1,0,41.17
219,Rahmanullah Gurbaz †,c †Buttler b Wood,10,9,13,0,1,111.11
220,Ibrahim Zadran,c Ali b Curran,32,32,41,3,1,100.00
221,Usman Ghani,c Livingstone b Curran,30,30,60,3,0,100.00
222,Najibullah Zadran,c Rashid b Stokes,13,11,15,0,1,118.18
223,Mohammad Nabi (c),c †Buttler b Wood,3,5,7,0,0,60.00
224,Azmatullah Omarzai,c Stokes b Curran,8,6,11,1,0,133.33
225,Rashid Khan,c Hales b Curran,0,1,2,0,0,0.00
226,Mujeeb Ur Rahman,c & b Woakes,0,1,3,0,0,0.00
227,Fareed Ahmad,not out,2,4,7,0,0,50.00
228,Fazalhaq Farooqi,c Malan b Curran,0,2,3,0,0,0.00
229,Jos Buttler (c)†,c Mujeeb Ur Rahman b Fazalhaq Farooqi,18,18,25,3,0,100.00
230,Alex Hales,c Fazalhaq Farooqi b Fareed Ahmad,19,20,41,0,1,95.00
231,Dawid Malan,c Mohammad Nabi b Mujeeb Ur Rahman,18,30,40,0,0,60.00
232,Ben Stokes,b Mohammad Nabi,2,4,11,0,0,50.00
233,Liam Livingstone,not out,29,21,34,3,0,138.09
234,Harry Brook,c Ibrahim Zadran b Rashid Khan,7,6,9,0,0,116.66
235,Moeen Ali,not out,8,10,13,0,0,80.00
236,Paul Stirling,c Rajapaksa b DM de Silva,34,25,45,4,1,136.00
237,Andy Balbirnie (c),b Kumara,1,5,7,0,0,20.00
238,Lorcan Tucker †,b Theekshana,10,11,20,1,0,90.90
239,Harry Tector,c Shanaka b Fernando,45,42,59,2,1,107.14
240,Curtis Campher,c Asalanka b Karunaratne,2,4,6,0,0,50.00
241,George Dockrell,b Theekshana,14,16,25,0,0,87.50
242,Gareth Delany,c Karunaratne b PWH de Silva,9,6,10,1,0,150.00
243,Mark Adair,c Karunaratne b PWH de Silva,0,1,5,0,0,0.00
244,Simi Singh,not out,7,8,9,1,0,87.50
245,Barry McCarthy,not out,2,2,7,0,0,100.00
246,Kusal Mendis †,not out,68,43,68,5,3,158.13
247,Dhananjaya de Silva,c †Tucker b Delany,31,25,35,2,1,124.00
248,Charith Asalanka,not out,31,22,33,2,0,140.90
249,Mohammad Rizwan †,c Kumar b Arshdeep Singh,4,12,25,1,0,33.33
250,Babar Azam (c),lbw b Arshdeep Singh,0,1,10,0,0,0.00
251,Shan Masood,not out,52,42,101,5,0,123.80
252,Iftikhar Ahmed,lbw b Mohammed Shami,51,34,43,2,4,150.00
253,Shadab Khan,c Yadav b Pandya,5,6,6,1,0,83.33
254,Haider Ali,c Yadav b Pandya,2,4,6,0,0,50.00
255,Mohammad Nawaz,c †Karthik b Pandya,9,6,12,2,0,150.00
256,Asif Ali,c †Karthik b Arshdeep Singh,2,3,6,0,0,66.66
257,Shaheen Shah Afridi,c & b Kumar,16,8,17,1,1,200.00
258,Haris Rauf,not out,6,4,3,0,1,150.00
259,KL Rahul,b Naseem Shah,4,8,13,0,0,50.00
260,Rohit Sharma (c),c Iftikhar Ahmed b Haris Rauf,4,7,20,0,0,57.14
